name,slug,category,brand,description,listPrice,price,countInStock,images,tags,isPublished,sku,specifications,dimensions,weight,material,finish,energyRating,energyConsumption,capacity,warrantyDetails,installationRequired,modelNumber
Westinghouse WR32HB2200 32" Smart Roku TV,westinghouse-wr32hb2200-32-smart-roku-tv,televisions,WESTINGHOUSE,"32-inch Smart Roku TV with 100V power supply LED display and HD resolution.",1235.4,1235.4,2,(to be provided),television; smart; roku; 32-inch; westinghouse,TRUE,06-WEST-WR32HB2200,"Screen Size: 32""; Resolution: HD (1080p); Smart Features: Roku; Power Supply: 100V; Display Type: LED","8 50 5",10,Plastic casing with metal stand,Matte black,A+,70W average," N/A","Coverage Period: 3 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,WR32HB2200
Sansui S32V1HA 32" Android Smart TV,sansui-s32v1ha-32-android-smart-tv,televisions,SANSUI,32-inch Android Smart TV with HD resolution and built-in streaming apps.,1038.2,1038.2,5,(to be provided),television; android; smart; 32-inch; sansui,TRUE,06-SANS-S32V1HA,"Screen Size: 32""; Resolution: HD (1080p); Smart Features: Android TV; Operating System: Android",,,,,,," N/A","Coverage Period: 4 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,S32V1HA
LG 55UP7710PSB 55" 4K UHD Smart TV,lg-55up7710psb-55-4k-uhd-smart-tv,televisions,LG,"55-inch 4K UHD Smart TV with webOS, HDR support, and AI-powered picture quality.",2836.2,2836.2,4,(to be provided),television; 4k; smart; lg; hdr,TRUE,06-LG-55UP7710PSB,"Screen Size: 55""; Resolution: 4K UHD (3840x2160); Smart Features: webOS; HDR Support: Yes; Refresh Rate: 60Hz",,,,,,," N/A","Coverage Period: 5 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,55UP7710PSB
LG 43UP8000PUA 43" 4K Smart TV,lg-43up8000pua-43-4k-smart-tv,televisions,LG,"43-inch 4K Smart TV with 200VA transformer, HDR10 Pro, and Google Assistant integration.",2175,2175,2,(to be provided),television; 4k; smart; lg; hdr,TRUE,06-LG-43UP8000PUA,"Screen Size: 43""; Resolution: 4K UHD; Smart Features: Google Assistant; HDR Support: HDR10 Pro; Power Supply: 200VA",,,,,,," N/A","Coverage Period: 6 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,43UP8000PUA
LG 43UQ7500PSF 43" Ultra HD 4K Smart LED TV,lg-43uq7500psf-43-ultra-hd-4k-smart-led-tv,televisions,LG,"43-inch Ultra HD 4K Smart LED TV with ?5 Gen5 AI Processor and Filmmaker Mode.",2314.2,2314.2,1,(to be provided),television; 4k; smart; lg; led,TRUE,06-LG-43UQ7500PSF,"Screen Size: 43""; Resolution: 4K UHD; Display Type: LED; Processor: ?5 Gen5 AI; Features: Filmmaker Mode",,,,,,," N/A","Coverage Period: 7 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,43UQ7500PSF
LG 32LM620BPUA 32" Smart HDTV,lg-32lm620bpua-32-smart-hdtv,televisions,LG,"32-inch Smart HDTV with 720p resolution, 100VA transformer, and LG ThinQ AI.",1386.2,1386.2,1,(to be provided),television; smart; hdtv; lg,TRUE,06-LG-32LM620BPUA,"Screen Size: 32""; Resolution: 720p; Smart Features: LG ThinQ AI; Power Supply: 100VA",,,,,,," N/A","Coverage Period: 8 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,32LM620BPUA
TCL 40S35F 40" LED Smart TV,tcl-40s35f-40-led-smart-tv,televisions,TCL,"40-inch LED Smart TV with 1080p resolution and Roku TV platform.",1618.2,1618.2,15,(to be provided),television; led; smart; tcl; roku,TRUE,06-TCL-40S35F,"Screen Size: 40""; Resolution: 1080p; Smart Features: Roku TV; Display Type: LED",,,,,,," N/A","Coverage Period: 9 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,40S35F
TCL 32S250G 32" Roku Smart TV,tcl-32s250g-32-roku-smart-tv,televisions,TCL,"32-inch Roku Smart TV with HD resolution and simple setup.",1154.2,1154.2,7,(to be provided),television; roku; smart; tcl; 32-inch,TRUE,06-TCL-32S250G,"Screen Size: 32""; Resolution: HD (720p); Smart Features: Roku TV; Connectivity: HDMI/USB",,,,,,," N/A","Coverage Period: 10 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,32S250G
TCL 40S334 40" Smart TV,tcl-40s334-40-smart-tv,televisions,TCL,"40-inch Smart TV with 1080p resolution, 200VA transformer, and built-in Wi-Fi.",2151.8,2151.8,2,(to be provided),television; smart; tcl; 40-inch,TRUE,06-TCL-40S334,"Screen Size: 40""; Resolution: 1080p; Power Supply: 200VA; Connectivity: Wi-Fi",,,,,,," N/A","Coverage Period: 11 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,40S334
TCL 50S535 50" 4K Smart TV,tcl-50s535-50-4k-smart-tv,televisions,TCL,"50-inch 4K Smart TV with 300VA transformer, Dolby Vision, and Google Assistant.",2778.2,2778.2,2,(to be provided),television; 4k; smart; tcl; dolby-vision,TRUE,06-TCL-50S535,"Screen Size: 50""; Resolution: 4K UHD; Smart Features: Google Assistant; HDR Support: Dolby Vision; Power Supply: 300VA",,,,,,," N/A","Coverage Period: 12 months; What? Covered: Complete electronic unit; Exclusions: Screen damage caused by the consumer",FALSE,50S535
