name,slug,category,brand,description,listPrice,price,countInStock,images,tags,isPublished,sku,specifications,dimensions,weight,material,finish,energyRating,energyConsumption,capacity,warrantyDetails,installationRequired,modelNumber
Westinghouse WR32HB2200 32 inch Smart Roku TV,westinghouse-wr32hb2200-32-smart-roku-tv,televisions,WESTINGHOUSE,32-inch Smart Roku TV with 100V power supply LED display and HD resolution.,,,2,(to be provided),television;smart;roku;32-inch;westinghouse,TRUE,06-WEST-WR32HB2200,Screen Size:32 inch;Resolution:HD (1080p);Smart Features:Roku;Power Supply:100V;Display Type:LED,,,Plastic casing with metal stand,Matte black,A+,70W average,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,WR32HB2200
Sansui S32V1HA 32 inch Android Smart TV,sansui-s32v1ha-32-android-smart-tv,televisions,SANSUI,32-inch Android Smart TV with HD resolution and built-in streaming apps.,,,5,(to be provided),television;android;smart;32-inch;sansui,TRUE,06-SANS-S32V1HA,Screen Size:32 inch;Resolution:HD (1080p);Smart Features:Android TV;Operating System:Android,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,S32V1HA
Hisense 50A7N 50 inch 4K UHD Smart TV,hisense-50a7n-50-4k-uhd-smart-tv,televisions,HISENSE,50-inch 4K UHD Smart TV with VIDAA U6 OS and Dolby Atmos.,,,17,(to be provided),television;4k;smart;hisense;dolby-atmos,TRUE,06-HISE-50A7N,Screen Size:50 inch;Resolution:4K UHD;Smart Features:VIDAA U6;Sound:Dolby Atmos,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,50A7N
Hisense 32A4HNR 32 inch Roku Smart TV,hisense-32a4hnr-32-roku-smart-tv,televisions,HISENSE,32-inch Roku Smart TV with HD resolution and voice control.,,,14,(to be provided),television;roku;smart;hisense;32-inch,TRUE,06-HISE-32A4HNR,Screen Size:32 inch;Resolution:HD (720p);Smart Features:Roku TV;Voice Control:Yes,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,32A4HNR
Hisense 40H4030F4 40 inch LED Smart TV,hisense-40h4030f4-40-led-smart-tv,televisions,HISENSE,40-inch LED Smart TV with 1080p resolution and Alexa compatibility.,,,9,(to be provided),television;led;smart;hisense;alexa,TRUE,06-HISE-40H4030F4,Screen Size:40 inch;Resolution:1080p;Smart Features:Alexa Built-in;Display Type:LED,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,40H4030F4
Samsung UN32T4202AP 32 inch LED Smart TV,samsung-un32t4202ap-32-led-smart-tv,televisions,SAMSUNG,32-inch LED Smart TV with HD resolution and Tizen OS.,,,39,(to be provided),television;led;smart;samsung;tizen,TRUE,06-SAM-UN32T4202AP,Screen Size:32 inch;Resolution:HD (720p);Smart Features:Tizen OS;Display Type:LED,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,UN32T4202AP
Samsung UN40N5200AF 40 inch Smart TV,samsung-un40n5200af-40-smart-tv,televisions,SAMSUNG,40-inch Smart TV with 1080p resolution and Samsung Smart Hub.,,,27,(to be provided),television;smart;samsung;40-inch,TRUE,06-SAM-UN40N5200AF,Screen Size:40 inch;Resolution:1080p;Smart Features:Samsung Smart Hub,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,UN40N5200AF
Samsung UN65DU7200F 65 inch Crystal UHD TV,samsung-un65du7200f-65-crystal-uhd-tv,televisions,SAMSUNG,65-inch Crystal UHD TV with 4K resolution and PurColor technology.,,,3,(to be provided),television;4k;samsung;crystal-uhd,TRUE,06-SAM-UN65DU7200F,Screen Size:65 inch;Resolution:4K UHD;Display Technology:Crystal UHD;Features:PurColor,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,UN65DU7200F
Samsung UN55DU7200F 55 inch 4K Smart TV,samsung-un55du7200f-55-4k-smart-tv,televisions,SAMSUNG,55-inch 4K Smart TV with HDR support and Alexa compatibility.,,,2,(to be provided),television;4k;smart;samsung;hdr,TRUE,06-SAM-UN55DU7200F,Screen Size:55 inch;Resolution:4K UHD;Smart Features:Alexa Built-in;HDR Support:Yes,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,UN55DU7200F
Samsung UN43TU7000B 43 inch 4K Smart TV,samsung-un43tu7000b-43-4k-smart-tv,televisions,SAMSUNG,43-inch 4K Smart TV with 200VA transformer and Crystal Display.,,,2,(to be provided),television;4k;smart;samsung;crystal-display,TRUE,06-SAM-UN43TU7000B,Screen Size:43 inch;Resolution:4K UHD;Power Supply:200VA;Display Type:Crystal Display,,,,,,,,"Televisions, Video Players & Radios

* **Coverage Period:** 3 months
* **What’s Covered:** Complete electronic unit
* **Exclusions:** Screen damage caused by the consumer
",FALSE,UN43TU7000B
